id,title,introduction,detail,cover,likes,publishTime,category
1,有机草莓,新鲜采摘的有机草莓，无农药,采用有机种植方式，保证新鲜度和口感,strawberry.jpg,156,2024-03-15,水果
2,生态大米,优质生态大米，无污染,采用传统种植方式，保证品质,rice.jpg,89,2024-03-14,粮食
3,有机蔬菜,当季有机蔬菜，营养丰富,采用有机种植，保证新鲜度,vegetables.jpg,234,2024-03-13,蔬菜
4,土鸡蛋,散养土鸡蛋，营养丰富,采用散养方式，保证鸡蛋品质,eggs.jpg,178,2024-03-12,禽蛋
5,有机茶叶,高山有机茶叶，清香怡人,采用传统工艺，保证品质,tea.jpg,145,2024-03-11,茶叶
6,生态猪肉,生态养殖猪肉，肉质鲜美,采用生态养殖，保证肉质,meat.jpg,167,2024-03-10,肉类
7,有机水果,当季有机水果，新鲜可口,采用有机种植，保证新鲜度,fruits.jpg,198,2024-03-09,水果
8,生态蜂蜜,纯天然生态蜂蜜，营养丰富,采用传统工艺，保证品质,honey.jpg,123,2024-03-08,蜂蜜
9,有机蔬菜,当季有机蔬菜，营养丰富,采用有机种植，保证新鲜度,vegetables2.jpg,156,2024-03-07,蔬菜
10,生态大米,优质生态大米，无污染,采用传统种植方式，保证品质,rice2.jpg,134,2024-03-06,粮食 
