date,product,likes,sales,temp,weather
2024-06-10,有机草莓,120,80,28,晴
2024-06-10,生态大米,90,60,28,晴
2024-06-10,有机蔬菜,150,100,28,晴
2024-06-11,有机草莓,130,85,30,多云
2024-06-11,生态大米,95,62,30,多云
2024-06-11,有机蔬菜,160,110,30,多云
2024-06-12,有机草莓,140,90,32,小雨
2024-06-12,生态大米,100,65,32,小雨
2024-06-12,有机蔬菜,170,120,32,小雨
2024-06-13,有机草莓,135,88,29,阴
2024-06-13,生态大米,98,63,29,阴
2024-06-13,有机蔬菜,165,115,29,阴
2024-06-14,有机草莓,145,92,31,晴
2024-06-14,生态大米,105,68,31,晴
2024-06-14,有机蔬菜,175,125,31,晴
2024-06-15,有机草莓,150,95,33,多云
2024-06-15,生态大米,110,70,33,多云
2024-06-15,有机蔬菜,180,130,33,多云
2024-06-16,有机草莓,155,98,34,晴
2024-06-16,生态大米,115,72,34,晴
2024-06-16,有机蔬菜,185,135,34,晴
2024-06-17,有机草莓,160,100,35,小雨
2024-06-17,生态大米,120,75,35,小雨
2024-06-17,有机蔬菜,190,140,35,小雨
2024-06-18,有机草莓,158,99,33,多云
2024-06-18,生态大米,118,74,33,多云
2024-06-18,有机蔬菜,188,138,33,多云
2024-06-19,有机草莓,162,102,32,晴
2024-06-19,生态大米,122,77,32,晴
2024-06-19,有机蔬菜,192,142,32,晴 
